/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_3.asm SUCCESS CPI:15.3 CYCLES:46 ICOUNT:3 IHITRATE: 81.2 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_4.asm SUCCESS CPI:15.3 CYCLES:46 ICOUNT:3 IHITRATE: 81.2 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_5.asm SUCCESS CPI:15.3 CYCLES:46 ICOUNT:3 IHITRATE: 81.2 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:15.3 CYCLES:46 ICOUNT:3 IHITRATE: 81.2 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:15.3 CYCLES:46 ICOUNT:3 IHITRATE: 81.2 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:15.3 CYCLES:46 ICOUNT:3 IHITRATE: 81.2 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:15.3 CYCLES:46 ICOUNT:3 IHITRATE: 81.2 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:15.3 CYCLES:46 ICOUNT:3 IHITRATE: 81.2 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:15.3 CYCLES:46 ICOUNT:3 IHITRATE: 81.2 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:15.3 CYCLES:46 ICOUNT:3 IHITRATE: 81.2 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:15.3 CYCLES:46 ICOUNT:3 IHITRATE: 81.2 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:15.3 CYCLES:46 ICOUNT:3 IHITRATE: 81.2 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:15.3 CYCLES:46 ICOUNT:3 IHITRATE: 81.2 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:15.3 CYCLES:46 ICOUNT:3 IHITRATE: 81.2 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:15.3 CYCLES:46 ICOUNT:3 IHITRATE: 81.2 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:15.3 CYCLES:46 ICOUNT:3 IHITRATE: 81.2 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:15.3 CYCLES:46 ICOUNT:3 IHITRATE: 81.2 DHITRATE: 0.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:4.5 CYCLES:45 ICOUNT:10 IHITRATE: 80.0 DHITRATE: 85.7
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:8.6 CYCLES:60 ICOUNT:7 IHITRATE: 80.0 DHITRATE: 75.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:4.4 CYCLES:40 ICOUNT:9 IHITRATE: 70.0 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:8.1 CYCLES:57 ICOUNT:7 IHITRATE: 76.5 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:4.7 CYCLES:42 ICOUNT:9 IHITRATE: 75.0 DHITRATE: 85.7
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:10.0 CYCLES:60 ICOUNT:6 IHITRATE: 80.0 DHITRATE: 75.0
